Orignal Compute,Original Total,XGBOOST Compute,XGBOOST Total,XGBoost Normalize,XGBoost Normalize Total
1.206298828,7.983327389,1.430602551,5.93985343,41.00211525,44.95760965
1.194071054,8.016084194,1.444101095,6.000917196,40.90513968,44.7530098
1.193054438,7.946682453,1.447271824,5.996847153,40.90252829,44.84245253
1.191368103,7.92398715,1.452018738,5.999469757,40.77317333,44.5858748
1.19468689,8.124039888,1.454613686,5.961368799,40.83209109,44.57321572
1.186583281,7.885233879,1.429358244,5.923413992,40.981112,44.76036
1.187498093,7.945887327,1.509613991,6.338336229,41.00829577,44.81491327
1.186299801,7.988596439,1.674446821,6.990420341,41.03554845,45.57813954
1.190207481,8.069771051,1.437664986,5.946573257,40.96676874,45.12419891
1.18679142,7.97029686,1.436348438,5.960810184,40.941576,44.66045785
1.18713522,7.921909571,1.436786175,5.934043407,40.88531327,44.68361545
1.18564868,7.916416168,1.440070152,5.925773859,40.8634603,44.59915566
1.208284378,8.165184975,1.425427437,5.933009863,40.91526771,44.63374329
1.19520998,7.966789961,1.42417407,5.906385422,41.15698266,45.48447013
1.192186832,7.925091505,1.421738386,5.902542591,41.0402112,45.13448811
1.190114498,7.955207109,1.434412718,5.911081791,40.89330959,44.7719233
1.187278748,8.015244007,1.43760252,5.937700987,40.8430233,44.62354422
1.18819499,7.897624254,1.454108477,5.940259695,40.88838673,44.68280959
1.188556671,7.945659399,1.435915947,5.905230522,40.86717772,44.63310552
1.186851263,8.01223278,1.424661636,5.916129827,40.93022013,44.75955439
1.191652536,7.886189938,1.423404455,5.896612644,40.96148515,44.77724051
1.18567872,7.934465408,1.421334028,5.89460063,40.89917731,44.66694713
1.187251806,7.927048445,1.423284292,5.928077698,40.88559246,44.68406558
1.187277555,7.948158741,1.421853781,5.877989054,40.93525362,44.68291688
1.197523832,7.934529543,1.420945168,5.892565012,40.94210243,44.69835138
1.187540293,7.932505608,1.427429199,5.879740715,40.9238112,44.67463398
1.1889925,7.886604548,1.424231052,5.843071222,41.02839136,44.7852211
1.194094658,7.904351234,1.424133062,5.901910543,40.8999877,44.65289664
1.194205761,7.890267611,1.422806263,5.937285185,40.90137291,44.73522854
1.186532497,8.078522921,1.436071157,5.900265694,40.91909146,44.59551835
1.183913469,7.858563185,1.432972908,5.90519619,40.89795327,44.64465261
1.186594248,7.920565605,1.429172277,5.910670519,40.93933392,44.69041204
1.207290888,8.071084738,1.441282272,6.018347263,40.89224172,44.65688276
1.193885088,7.971364737,1.424012661,5.904102802,40.98559642,44.75049233
1.201564312,7.999233007,1.427662611,5.952521563,40.89262486,44.64741921
1.188718557,7.982654333,1.417126894,5.875691175,40.8795836,44.62497997
1.189435005,7.953480721,1.414027214,5.862641811,40.91399693,44.74311399
1.18940568,7.916705608,1.417036533,5.901852369,40.87581253,44.61445212
1.187162638,7.974227667,1.420903683,5.891005754,40.84923577,44.6341083
1.188622236,7.778561592,1.419579268,5.891275644,40.88470054,44.65519381
1.194342613,7.907978296,1.423154354,5.901801109,41.03505826,44.89320755
